w_logreg,season_half_life,accuracy,log_loss,brier
0.0,,0.5336842105263158,0.9806044245185879,0.5838253410978972
0.1,,0.5349999999999999,0.9790802783919489,0.5828145285625622
0.2,,0.5373684210526316,0.9779019007657637,0.582015979512317
0.30000000000000004,,0.54,0.977075708020901,0.5814296939471614
0.4,,0.5428947368421053,0.9766159027753082,0.5810556718670954
0.5,,0.5410526315789475,0.9765457518097775,0.580893913272119
0.6000000000000001,,0.54,0.9769006182312587,0.5809444181622323
0.7000000000000001,,0.5410526315789475,0.9777340816621288,0.5812071865374353
0.8,,0.5378947368421052,0.9791309553939025,0.5816822183977278
0.9,,0.5381578947368422,0.9812398887616558,0.58236951374311
1.0,,0.5376315789473683,0.9843886397336179,0.583269072573582
0.0,10.0,0.5368421052631579,0.9803882935249074,0.5837009695988463
0.1,10.0,0.5371052631578946,0.9789163742749108,0.5827247057261118
0.2,10.0,0.5397368421052631,0.977780432593299,0.5819545295493275
0.30000000000000004,10.0,0.541578947368421,0.97698637666346,0.5813904410684931
0.4,10.0,0.5431578947368421,0.9765476478159547,0.5810324402836092
0.5,10.0,0.5431578947368421,0.9764864654105233,0.5808805271946755
0.6000000000000001,10.0,0.5413157894736842,0.9768367956718811,0.580934701801692
0.7000000000000001,10.0,0.5402631578947368,0.9776504017635169,0.5811949641046588
0.8,10.0,0.5405263157894737,0.9790099391035973,0.5816613141035758
0.9,10.0,0.5389473684210527,0.9810630931456744,0.582333751798443
1.0,10.0,0.5378947368421052,0.984162479434422,0.5832122771892604
0.0,6.0,0.5389473684210525,0.9804393563672766,0.5836687172231663
0.1,6.0,0.5389473684210526,0.978960037126933,0.5826970694582717
0.2,6.0,0.5399999999999999,0.9778178050142887,0.5819320405181317
0.30000000000000004,6.0,0.5426315789473684,0.9770182487070247,0.581373630402746
0.4,6.0,0.5436842105263159,0.9765744824989481,0.5810218391121149
0.5,6.0,0.5421052631578946,0.9765083608991558,0.5808766666462382
0.6000000000000001,6.0,0.5402631578947369,0.9768534105703962,0.580938113005116
0.7000000000000001,6.0,0.5399999999999999,0.9776608494744213,0.5812061781887483
0.8,6.0,0.5405263157894737,0.9790127662377757,0.5816808621971348
0.9,6.0,0.5392105263157896,0.9810574945294483,0.5823621650302762
1.0,6.0,0.5386842105263158,0.9841742296721044,0.5832500866881717
0.0,3.0,0.5360526315789473,0.981390198873242,0.5841801835141142
0.1,3.0,0.5373684210526316,0.9798147221830155,0.5831576536035106
0.2,3.0,0.5384210526315789,0.9785869184078901,0.5823491928497415
0.30000000000000004,3.0,0.5402631578947369,0.9777113210428439,0.5817548012528071
0.4,3.0,0.541578947368421,0.9772003196821597,0.5813744788127073
0.5,3.0,0.5389473684210526,0.9770753811037627,0.5812082255294421
0.6000000000000001,3.0,0.54,0.977370078933798,0.5812560414030113
0.7000000000000001,3.0,0.5431578947368421,0.9781364062481274,0.5815179264334154
0.8,3.0,0.5423684210526316,0.9794588823791109,0.5819938806206539
0.9,3.0,0.5407894736842105,0.9814944293776217,0.582683903964727
1.0,3.0,0.5399999999999999,0.9847277396902936,0.5835879964656348
