date,time,home_team,away_team,home_elo,away_elo,home_form3,home_form5,away_form3,away_form5,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,home_shots,away_shots,home_shots_target,away_shots_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,odd_home,odd_draw,odd_away,odd_over25,odd_under25,season,league
2000-09-30,,Bari,Verona,1658.62,1687.25,0.0,0.0,0.0,0.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1.9,2.9,3.7,,,2000/2001,Serie A
2000-09-30,,Napoli,Juventus,1597.2,1851.03,0.0,0.0,0.0,0.0,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,,3.4,2.9,1.95,,,2000/2001,Serie A
2000-10-01,,Atalanta,Lazio,1626.86,1893.07,0.0,0.0,0.0,0.0,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,2000/2001,Serie A
2000-10-01,,Milan,Vicenza,1858.74,1636.83,0.0,0.0,0.0,0.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.2,5.0,10.0,,,2000/2001,Serie A
2000-10-01,,Parma,Fiorentina,1788.5,1771.08,0.0,0.0,0.0,0.0,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,1.7,3.1,4.6,,,2000/2001,Serie A
2000-10-01,,Perugia,Lecce,1653.98,1630.12,0.0,0.0,0.0,0.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1.85,3.05,3.8,,,2000/2001,Serie A
2000-10-01,,Reggina,Inter,1650.1,1770.36,0.0,0.0,0.0,0.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,3.8,2.9,1.9,,,2000/2001,Serie A
2000-10-01,,Roma,Bologna,1788.45,1700.41,0.0,0.0,0.0,0.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.43,3.3,6.5,,,2000/2001,Serie A
2000-10-01,,Udinese,Brescia,1779.09,1613.37,0.0,0.0,0.0,0.0,4.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,,1.57,3.3,5.2,,,2000/2001,Serie A
2000-10-14,,Inter,Napoli,1770.36,1588.76,0.0,0.0,0.0,0.0,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,1.25,4.55,8.5,,,2000/2001,Serie A
2000-10-14,,Lazio,Perugia,1893.07,1653.98,3.0,5.0,3.0,5.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.2,5.0,10.0,,,2000/2001,Serie A
2000-10-15,,Vicenza,Atalanta,1634.44,1631.05,0.0,0.0,3.0,5.0,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.1,2.8,3.4,,,2000/2001,Serie A
2000-10-15,,Verona,Udinese,1685.67,1782.45,3.0,5.0,9.0,15.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,2.45,2.8,2.8,,,2000/2001,Serie A
2000-10-15,,Juventus,Bari,1851.23,1652.38,9.0,15.0,3.0,5.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.23,4.55,10.0,,,2000/2001,Serie A
2000-10-15,,Lecce,Roma,1633.81,1793.42,3.0,5.0,9.0,15.0,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,,,3.6,2.8,2.05,,,2000/2001,Serie A
2000-10-15,,Brescia,Parma,1610.01,1784.97,0.0,0.0,3.0,5.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,3.2,2.85,2.2,,,2000/2001,Serie A
2000-10-15,,Bologna,Milan,1695.44,1861.13,0.0,0.0,9.0,15.0,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,3.4,2.85,2.1,,,2000/2001,Serie A
2000-10-15,,Fiorentina,Reggina,1774.61,1658.36,3.0,5.0,9.0,15.0,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1.35,3.7,8.5,,,2000/2001,Serie A
2000-10-21,,Milan,Juventus,1861.13,1851.23,5.0,8.0,9.0,15.0,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,,2.15,3.0,3.15,,,2000/2001,Serie A
2000-10-21,,Udinese,Inter,1782.45,1765.34,6.0,10.0,5.0,8.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.45,3.0,2.65,,,2000/2001,Serie A
2000-10-22,,Bari,Atalanta,1652.38,1631.05,2.0,3.0,6.0,10.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.17,2.9,3.25,,,2000/2001,Serie A
2000-10-22,,Brescia,Fiorentina,1610.01,1774.61,2.0,3.0,6.0,10.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,2.45,3.0,2.65,,,2000/2001,Serie A
2000-10-22,,Napoli,Bologna,1585.51,1695.44,0.0,0.0,5.0,8.0,1.0,5.0,A,0.0,2.0,A,,,,,,,,,,,,,2.2,2.9,3.15,,,2000/2001,Serie A
2000-10-22,,Perugia,Parma,1647.55,1784.97,2.0,3.0,3.0,5.0,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,3.55,2.9,2.05,,,2000/2001,Serie A
2000-10-22,,Reggina,Lecce,1658.36,1633.81,5.0,8.0,2.0,3.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,1.9,3.1,3.75,,,2000/2001,Serie A
2000-10-22,,Roma,Vicenza,1793.42,1634.44,9.0,15.0,0.0,0.0,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1.25,4.6,8.5,,,2000/2001,Serie A
